コード,銘柄名,市場,株価,最高益連続期数,今期経常増益率,決算期,PER,PBR,利回り
4752,昭和システム,東S,930,9,4.5,2023.3,9.4,0.98,3.44
9037,ハマキョウ,東P,3260,9,3.7,2023.3,8.4,0.82,2.76
9682,DTS,東P,3525,9,1.7,2023.3,19.3,2.62,3.40
7466,SPK,東P,1421,9,0.6,2023.3,8.4,0.67,3.10
3038,神戸物産,東P,3170,9,0.4,2022.10,35.0,7.76,0.66
7685,バイセル,東G,6170,8,43.8,2022.12,45.8,16.44,0.32
3186,ネクステージ,東P,2937,8,39.9,2022.11,17.9,4.43,0.72
6564,ミダックHD,東P,3650,8,31.9,2023.3,57.6,10.39,0.10
6533,オーケストラ,東P,2538,8,30.6,2022.12,26.2,5.32,0.35
9090,AZ丸和HD,東P,1565,8,26.1,2023.3,26.7,6.06,1.50
4369,トリケミカル,東P,2185,8,25.6,2023.1,13.7,2.99,1.01
4396,システムサポ,東P,1426,8,22.0,2023.6,15.0,4.32,2.10
6532,ベイカレント,東P,4050,8,20.9,2023.2,33.6,13.43,0.74
4498,サイバトラス,東G,3770,8,20.4,2023.3,21.5,2.92,
2163,アルトナー,東P,997,8,11.4,2023.1,13.3,2.76,3.91
3934,ベネフィJ,東P,1512,8,11.4,2023.3,8.0,1.46,0.60
8919,カチタス,東P,3310,8,9.3,2023.3,27.3,7.63,1.47
3141,ウエルシア,東P,3125,8,8.4,2023.2,23.0,3.00,1.02
7818,トランザク,東P,1084,8,8.3,2023.8,13.3,2.36,2.49
3465,ケイアイ不,東P,4515,8,7.7,2023.3,4.5,1.60,6.20
8117,中央自,東S,2237,8,6.2,2023.3,8.5,1.11,3.31
4923,COTA,東P,1585,8,4.3,2023.3,23.9,4.10,1.26
3836,アバントG,東P,1411,8,3.7,2023.6,26.2,5.07,1.06
7508,GセブンHD,東P,1399,8,1.6,2023.3,11.4,2.39,2.72
9790,福井コン,東P,3435,8,1.3,2023.3,16.7,3.85,1.75
3768,リスモン,東S,688,8,1.0,2023.3,11.3,0.93,2.14
7079,WDBココ,東G,4215,8,1.0,2023.3,15.4,4.65,0.97
7780,メニコン,東P,2508,8,0.4,2023.3,28.0,2.83,0.80
9436,沖縄セルラー,東S,2803,8,0.2,2023.3,13.9,1.51,3.07
4395,アクリート,東G,2315,7,100.0,2022.12,22.9,6.47,0.43
6062,チャームケア,東P,1036,7,75.1,2023.6,9.0,2.72,2.12
7199,プレミアG,東P,1826,7,31.9,2023.3,17.7,5.79,1.10
7320,リビング保証,東G,1850,7,31.7,2023.6,13.6,7.47,0.54
7095,マクビープラ,東G,8530,7,29.8,2023.4,27.7,9.27,
4380,Mマート,東G,1050,7,26.3,2023.1,21.9,4.43,1.24
7373,アイドマHD,東G,4275,7,26.3,2023.8,52.0,16.18,
6920,レーザーテク,東P,21250,7,25.1,2023.6,58.1,26.04,0.61
